Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,Σ Progress,Σ Time Spent,Σ Remaining Estimate,Σ Original Estimate,Labels,AccelAero User Id,Zendesk Application Link ticket Reference,Airline,Zendesk Application Link ticket Reference.1,Browser,Browser Version,Support Category,Chargeability,Costing status,Approver,Configurations,Estimated Delivery Date,Requesting Client
AccelAero Reservations,AARESAA-6115,AARESAA-5992 PNL/ADL - Facilitate inclusion of multilpe meals,SubTask - Change Request,Closed,Major,Fixed,QACOMPLETED,XEMP-Janaki Kalatuwawa,2011-05-13 19:39:00,,2012-01-06 20:28:00,2011-06-21 17:49:00,,AA-G9-026.0,,,0.0,0.0,,,,,,,,,PNL/ADL - Facilitate inclusion of multilpe meals,Default,,,,,,,,,,,,,Customer Specific Customization,,,,,,
AccelAero Reservations,AARESAA-26134,Pnl/Adl some text not in upper case,Bug,Closed,Major,Work Completed,QACOMPLETED,Uditha Dissanayake,2016-07-25 15:28:00,,2016-08-15 10:55:00,2016-08-15 10:53:00,,7,,,0.0,2.0,,,0.0,2700.0,,,,,Pnl/Adl some text not in upper case,Default,1.0,1.0,2700.0,0.0,,,,,,,,,,,,,,,W5 - MahanAir
AccelAero Reservations,AARESAA-7469,PNL / ADL FQTV Issue,Bug,Closed,Major,Fixed,QACOMPLETED,XEMP - Nilindra Fernando,2012-02-27 11:01:00,,2012-03-02 11:11:00,2012-03-02 11:10:00,,AA-G9-032.0,,,0.0,0.0,,,,,,,,,"HI Parani,

Actually PNL format we are sending for FQTV is wrong. We are sending it with general SSR format with HK1 confirmation. IT should be corrected for FQTV. As this leads to fail whole PNL it is important to action this urgently.

Regards,
Indika Athauda


From: Mahdian [mailto:h.mahdian@mahan.aero]
Sent: Sunday, February 26, 2012 9:34 PM
To: 'Mahdian'; 'iathauda'
Cc: 'Faezeh.Kermani'; 'Mahin.Nejadsam'; nematollah.zanganeh@mahanairlines.com
Subject: RE: FFP format is not correct!


Warm reminder....


From: Mahdian [mailto:h.mahdian@mahan.aero]
Sent: Saturday, February 25, 2012 7:48 PM
To: 'iathauda'
Cc: 'Faezeh.Kermani'; 'Mahin.Nejadsam'; 'nematollah.zanganeh@mahanairlines.com'
Subject: FFP format is not correct!



Dear Mr Indika ,



I would like tonight for flight w51052 from KER-THR PNL had error DUE FFP FORMAT ISN'T CORRECT!

YOU CAN FIND AS BELLOW:



1JAVADI/REZAMR-C3 .L/10679111 .R/TKNE HK1 5379520955734/2-1JAVADI/REZAMR .R/FQTV HK1 100887732 .I/W51051Y25THR - Frequent Flyer Format is incorrect

1SOLTANI/ALIMR-C3 .R/TKNE HK1 5379520955735/2-1SOLTANI/ALIMR .R/FQTV HK1 100887732 .I/W51051Y25THR - Frequent Flyer Format is incorrect

1TORABIPOOR/ALIMR-C3 .R/TKNE HK1 5379520955736/2-1TORABIPOOR/ALIMR .R/FQTV HK1 100887732 .I/W51051Y25THR - Frequent Flyer Format is incorrect

PLEASE CHECK AND INFROM US.

BRGDS
MAHDIAN",Default,,,,,,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-11745,Send PNL just before sending first ADL,Bug,Closed,Major,Fixed,QACOMPLETED,XEMP-Ishan Liyanage,2013-01-03 09:06:00,,2013-04-11 11:00:00,2013-02-12 14:13:00,,AA-W5-009.3,,,0.0,0.0,,,,,,,,,Send PNL just before sending the ADL first time. There are instances PNL is failed and ADLs are sending. Some DCSs are not accpeting ADLS without PNL.,Default,,,,,,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-17101,"AARESAA-15812 If PNL sent, then add a Bus segment and send ADL, it does not go in ADL",SubTask - Bug,Closed,Major,Fixed,QACOMPLETED,Faiza Iqbal (QA),2014-04-15 13:50:00,,2014-04-17 12:25:00,2014-04-17 12:25:00,,AA-VP-001.0.6,,,0.0,3.0,,,,,,,,,"If PNL sent, then add a Bus segment and send ADL, it does not go in ADL 
Eg : PNR : 10000547 
Make a booking for GAN-FVM 18/4 and send PNL 
Then add bus sector FVM-HOL 18/4 and send ADL 
No records to generate ADL message displayed --> NOT OK 
This should have been sent in ADL",Default,,,,,,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-9262,AARESAA-9116 PNL / ADL Issues of OND Baggage changes,SubTask - Bug,Closed,Critical,Fixed,QACOMPLETED,XEMP - Anoma Sapuge,2012-06-30 11:07:00,,2012-06-30 22:10:00,2012-06-30 22:10:00,,AA-G9-035.0,,,0.0,0.0,,,,,,,,,To report all the issues in PNL and ADL with new OND Baggage changes,Default,,,,,,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-19426,AARESAA-18617 PNL/ADL didn't process through SITATEX,SubTask - Bug,Closed,Blocker,Fixed,QACOMPLETED,Upadya Herath (QA),2014-11-07 16:52:00,,2014-11-12 11:05:00,2014-11-12 11:04:00,,AA-W5-015.0,,,0.0,2.0,,,0.0,3600.0,,,,,"PNL/ADL didn't process through SITATEX. 

PNL/ADL didn't process thought remote location. 

Date: 07/10/2014 
flight: W5061",Default,1.0,1.0,3600.0,0.0,,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-4807,PNL/ADL actual status not appear in XBE.,Bug,Closed,Major,Incomplete,XEMP-Janaki Kalatuwawa,Indika Athauda,2010-09-15 07:54:00,,2011-02-09 16:15:00,2010-09-22 07:25:00,,"AA-RT-003.0 , AA-E5-005.0, AA-G9-019.0 , AA-3O-011.0",,,0.0,0.0,_thumb_12454.png _thumb_12453.png ,,,,,,,,"16-Sep-2010 flight G9835, PNL was not sent due to SITA failiure. But subsequent ADL's were sent. None of the information appears in View/Send PNL/ADL screen. Thus cannot generate new PNL ADL as well. Refer screenshot.",Default,,,,,,,,,,,,,Error,,,,,,ISA
AccelAero Reservations,AARESAA-18721,AARESAA-18598 FQTV number didn't display in PNL/ADL,SubTask - Bug,Closed,Critical,Fixed,QACOMPLETED,Chathurani Hettiarachchi (QA),2014-09-09 17:01:00,,2014-09-12 12:04:00,2014-09-12 12:03:00,,AA-W5-015.0,,,0.0,2.0,_thumb_32822.png _thumb_32821.png ,3600.0,900.0,2700.0,0.75,,,,"FQTV number didn't display in PNL/ADl. 

Test data 
Date : 12/09/2014 
Flight no : W5071",Default,0.75,0.75,2700.0,900.0,3600.0,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-3746,AARESAA-3546 XBE - Tools - View/Send PNL/ADL,SubTask - Change Request,Closed,Major,Fixed,QACOMPLETED,XEMP-Janaki Kalatuwawa,2010-01-26 09:06:00,,2012-01-06 20:24:00,2010-01-29 10:47:00,,"AA-G9-014.0 , AA-G9-013.19",,,0.0,0.0,,,,,,,,,"The view/send PNL/ADL Search where users could manually select a flight and send/Re-send PNL/ADL.

This function should be changed to display the SITA/Email address list in the selection box as per the selected flight carrier code. 


",Default,,,,,,,,,,,,,Customer Specific Customization,,,,,,
AccelAero Reservations,AARESAA-10958,AARESAA-10890 Send Last 4 Digit of CC in PNL/ADL,SubTask - Bug,Closed,Major,Fixed,QACOMPLETED,Nafly Mohamed,2012-10-10 14:15:00,,2012-11-23 16:03:00,2012-11-23 16:03:00,,AA-Z2-001.4,,,0.0,0.0,,,,,,,,,"Cuurently only for Type B, the last 4 digit of CC is sent in PNL and ADL,

for our DCS, this is not sent. Please do the development to support this.",Default,,,,,,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-13088,Need to audit PNL/ADL manually sending details,Task,Closed,Major,Fixed,QACOMPLETED,Jagath Kumara,2013-05-16 11:40:00,,2015-12-31 13:21:00,2013-05-16 17:10:00,,AA-RQ-003.1,,,0.0,0.0,,,0.0,7200.0,,,,,System should maintain audit logs for PNL/ADL manually sending actions and user should be able to view it from admin audit report.,Default,1.0,1.0,7200.0,0.0,,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-19388,AARESAA-19341 XBE : An error occured on Sending PNL/ADL screen,SubTask - Bug,Closed,Major,Fixed,QACOMPLETED,Kasun Chaturanga (QA),2014-11-04 16:47:00,,2015-03-18 15:09:00,2014-11-05 13:43:00,,RB001.10.15,,,0.0,2.0,_thumb_34137.png ,,0.0,1800.0,,,,,"When the user tries to send PNL/ADL, the system is displaying an error. 

Error : TAIR-36572 : Error occurred in the PNLBL Generation Method. 
Please refer the screen shot.",Default,1.0,1.0,1800.0,0.0,,,,,,,,,,,,,,,RB - Syrian Arab Airlines
AccelAero Reservations,AARESAA-5490,AARESAA-5485 PNL/ADL - Support meal with standard IATA codes,SubTask - Product Development,Closed,Major,Won't Fix,QACOMPLETED,Indika Athauda,2011-02-07 11:45:00,,2012-01-06 20:27:00,2011-03-06 04:57:00,,"AA-G9-022.3, AA-RT-005.0, AA-P2-000.0, AA-ML-001.0",,,0.0,0.0,,,,,,,,,"When meal details are displayed, in current implementation for Air Arabia, meal code is included in PNL/ADL with hard coded SPML SSR code. 
This needs to be changed to get the IATA code from the meal table.

When 0 charged meals are made available, system should include the selected meal IATA code in the PNL/ADL. In this case, there is no need to include meal code. 

When meals with charges in a reservation, instead hard coded SPML, IATA code to be taken from the meal table and then followed with meal code as of now. 


",Default,,,,,,,,,,,,,Product Enhancement,,,,,,ISA
AccelAero Reservations,AARESAA-10853,Inbound and outbound connection details not included in PNL/ADL,Bug,Closed,Major,Fixed,QACOMPLETED,Jagath Kumara,2012-10-01 16:13:00,,2012-11-11 16:33:00,2012-11-11 15:04:00,,AA-G9-037.2,,,0.0,0.0,,,,,,,,,"After dry phase 2, inbound or out bound connection not included in PNL/ADL for interline bookings.


System still assume that pnr_seg_id is null in V_EXT_PNR_SEGMENT for interline bookings.
Now, pnr_seg_id of t_ext_pnr_segment saving in V_EXT_PNR_SEGMENT",Default,,,,,,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-22797,AARESAA-22211 Force confirm reservation details goes in PNL/ADL,SubTask - Bug,Closed,Critical,Fixed,QACOMPLETED,Chathurani Hettiarachchi (QA),2015-10-03 15:36:00,,2015-10-09 09:57:00,2015-10-09 09:57:00,,W5017.0,,,0.0,2.0,,,0.0,57600.0,,,,,"Defect recreate steps 
i). Created oneway reservation using below details 
Pax : 2 ADT , 2 CHD 
Route IKA/BKK. 
ii). Next add BKK/IKA IND and do force confirm. 
iii). Then do minus charge ADJ for full balance only for adults. 
iv). New e-ticket get generated for only adults. 
v). Next send PNL/ADL for BKK/IKA segment. Reservation details include in PNL. 

Expected result 
Force confirm reservation shouldn't get included to the PNL/ADL. 

Test data 
PNR : 19345327 

2DEVELOPER/UUUMR/YYYMR .L/19345327 
.R/TKNE HK1 5379535208526/2-1DEVELOPER/UUUMR 
.R/TKNE HK1 5379535208525/2-1DEVELOPER/YYYMR 
1KAMALI/AMIRMR .L/19312457 
.R/DOCS HK1/P/IR/N30079858/IR/01JAN84/M/05MAY19/KAMALI/AMIR-1KAM 
.RN/ALI/AMIRMR .R/TKNE HK1 5379535149430/2-1KAMALI/AMIRMR 
-IKA00Y 
-IKA00Z 
ENDPNL",Default,1.0,1.0,57600.0,0.0,,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-16200,Capture DOCO information to include it in PNL/ADL as SSR,Change Request,Closed,Major,Fixed,QACOMPLETED,Manoj Dhanushka,2014-01-30 12:14:00,,2014-06-11 16:41:00,2014-06-11 16:41:00,,AA-W5-014.0,,,0.0,2.0,_thumb_27976.png ,777600.0,502080.0,275520.0,0.35,"AARESAA-16205, AARESAA-16217, AARESAA-16533, AARESAA-16918",AARESAA-16818,,"Summary: - Capture DOCO information on AccelAero to include it in PNL/ADL as SSR for bookings through XBE/IBE
Scope:
1. DOCO (VISA) information to be captured during create/modify bookings on XBE/IBE for all applicable flights.
2. Following fields for Visa to be captured on XBE/IBE for applicable flights:
2.1. Place of birth 
2.2. Travel document type
2.3. Visa document number
2.4. Visa document place of issue
2.5. Visa document issue date
2.6. Country/state for which visa is applicable

Refer details in the below snapshot for the format to generate the PNL with DOCO information.

3. APP parameter to be introduced to enable DOCO on AccelAero. 
Out of Scope: DOCO information capturing on API bookings not considered.
",Default,0.35,0.39,325920.0,505680.0,799200.0,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-18909,AARESAA-18124 Descrepancy between PNL and ADL DEL element,SubTask - Bug,Closed,Major,Fixed,QACOMPLETED,Ambegoda,2014-09-25 15:21:00,,2014-10-12 13:23:00,2014-10-09 13:57:00,,AA-G9-041.1.8,,,0.0,3.0,,,0.0,18000.0,,,,,"Issue happened with below passenger names in live. 
Live PNR 36574939 

Passenger names of 6 passengers were mentioned in the PNL as below. 

4KUMAR/BINODMR/DHARAMENDERMR/SANDEEPMR/VIRENDRAMR-A35 
.R/TKNE HK1 5142360813589/1-1KUMAR/BINODMR 
.R/TKNE HK1 5142360813591/1-1KUMAR/DHARAMENDERMR 
.R/TKNE HK1 5142360813593/1-1KUMAR/SANDEEPMR 
.R/TKNE HK1 5142360813592/1-1KUMAR/VIRENDRAMR 
.R/XBAG HK4 BAGS 30 
.R/OKOB HK1 EMPLOYMENT VISA 24836382014201 VALID TILL 31102014-1 
.RN/KUMAR/BINODMR 
.R/OKOB HK1 EMPLOYMENT VISA 2483639 2014 201 VALID TILL 02112014 
.RN/-1KUMAR/VIRENDRAMR 
.R/OKOB HK1 EMPLOYMENT VISA 2483686 2014 201 VALID TILL05112014- 
.RN/1KUMAR/SANDEEPMR 
.R/OKOB HK1 EMPLOYMENT VISA24836852014201VALID TILL 05112014-1KU 
.RN/MAR/DHARAMENDERMR 
2KUMAR/BABLUMR/RUDALMR-A35 
.R/TKNE HK1 5142360813585/1-1KUMAR/BABLUMR 
.R/TKNE HK1 5142360813587/1-1KUMAR/RUDALMR .R/XBAG HK2 BAGS 30 
.R/OKOB HK1 EMPLOYMENT VISA2483636 2014201 VALID TILL 31102014-1 
.RN/KUMAR/RUDALMR 
.R/OKOB HK1 EMPLOYMENT VISA27836762014201 VALID TILL 05112014-1K 
.RN/UMAR/BABLUMR 

After a name change, same passengers were mentioned in DEL element of ADL as below. 

5KUMAR/BABLUMR/BINODMR/DHARAMENDERMR/RUDALMR/SANDEEPMR-A35 .L/36574939 
1KUMAR/VIRENDRAMR-A35 

As you can see there is a difference in format. Names should be listed with same format in both PNL and ADL 

",Default,1.0,1.0,18000.0,0.0,,,,,,,,,,,,,,,G9 - Air Arabia
